,Metadata
turbine_number,232
service_order,6114
pad_no,HOU
turbine_type,V136
start_date,17.10.2023
end_date,17.10.2023
customer_address,['ENERGIE']
date_and_time_of_receipt,19.03.2023 22:15:02
reason_for_call_out,Check ICPE Electrical V136
