,Metadata
turbine_number,235
service_order,6269
pad_no,LIMALONGES LIM5
turbine_type,V110
start_date,30.04.2024
end_date,30.04.2024
customer_address,"['ENERGIE LIMALO', '29 Rue']"
date_and_time_of_receipt,11.12.2023 02:43:46
reason_for_call_out,Check ICPE Torque
