,Metadata
turbine_number,243
service_order,61114
pad_no,CHOU
turbine_type,V100
start_date,28.11.2023
end_date,21.12.2023
customer_address,"['WPD ENERGIE 21 N 16', '32-3']"
date_and_time_of_receipt,13.03.2023 00:54:13
reason_for_call_out,V100 2/2.2MW MK10D C - Service 1 Year
